,Size,Cathedral,University,3,4,5,6,7,8,Coordinates,Sword,Armor,Bowyer,Artificer,Clothmaker,Alum,Antimoni,Aqua Regia,Brimstone,Camomile,Eastern BBean,Gum,Manganes,Marsh Vapor,Mondragora,Naptha,Nikel,Orpiment,Pitchblende,Pure Gold,Solanaceae,White Cinnabar,Zincblende,Zinken,Saint 1,Saint 2,Saint 3,Saint 4
Kuttenberg,3,,,3,,,,,,F6,,,20,34,22,,,,,,,,,,,,,,,,,,,,,,,
Leer,3,,,3,,,,,,B2,,,28,23,26,,,,,,,,,,,,,,,,,,,,,,,
Leipzig,6,C,U,,,,6,,,E4,29,29,28,37,29,,,,,,,,,,,,,,,,,,,,,,,
Linz,4,,,,4,,,,,F7,,,,24,24,,,,,,,,,,,,,,,,,,,,,,,
Lubeck,7,C,,,,,,7,,D2,28,28,25,29,28,,,,,,,,,,,,,,,,,,,,,,,
Luneberg,5,,,,,5,,,,C3,,,,25,23,,,,,,,,,,,,,,,,,,,,,,,
Luxemburg,5,C,,,,5,,,,A6,26,28,23,27,31,,,1,1,,,,,,1,,,1,,1,1,,1,1,Agatha,Hedwig,Charity,EdwardC
Magdeburg,5,C,,,,5,,,,D4,34,28,26,28,26,,,,,,,,,,,,,,,,,,,,,,,
Mainz,6,C,,,,,6,,,B6,27,27,24,27,26,,1,,1,,,,,,1,,,1,1,1,,1,,1,AndrewT,Williborord,FelixN,Eric
Marienberg,5,,,,,5,,,,H2,30,33,26,28,28,,,,,,,,,,,,,,,,,,,,,,,
München,6,C,,,,,6,,,D8,29,25,23,25,26,,,,,,,,,,,,,,,,,,,,,,,
Münster,5,C,,,,5,,,,B4,25,25,23,25,23,,,,,,,,,,,,,,,,,,,,,,,
Nancy,5,,,,,5,,,,A7,24,36,24,24,23,1,,,1,,,1,,,1,,1,1,,1,,,,,Aidan,Dismas,Columba,Christopher
Naskskov,3,,,3,,,,,,D1,30,,,21,21,,,,,,,,,,,,,,,,,,,,,,,
Nördlingen,5,C,,,,5,,,,C7,33,23,24,27,25,,,,,,,,,,,,,,,,,,,,,,,
Nürnberg,7,,,,,,,7,,D6,37,37,25,35,27,,,,,,,,,,,,,,,,,,,,,,,
Nymwegen,4,,,,4,,,,,A4,,,,34,27,1,1,1,,,,1,,1,,,,,1,,1,,,1,Florian,VictorM,PeterA,MargaretC
Olmutz,4,,,,4,,,,,H6,23,21,37,23,25,,,,,,,,,,,,,,,,,,,,,,,
Osnabruck,5,C,,,,5,,,,B3,24,27,23,25,26,,,,,,,,,,,,,,,,,,,,,,,
Paderborn,4,C,,,4,,,,,B4,38,23,22,26,25,,,,,,,,,,,,,,,,,,,,,,,
Passau,5,,,,,5,,,,E7,23,24,24,24,26,,,,,,,,,,,,,,,,,,,,,,,
Posen,4,,,,4,,,,,G3,25,26,33,25,27,,,,,,,,,,,,,,,,,,,,,,,
Prag,6,C,U,,,,6,,,F6,28,28,27,29,30,,,,,,,,,,,,,,,,,,,,,,,
Prenzlau,5,,,,,5,,,,E3,24,24,23,24,23,,,,,,,,,,,,,,,,,,,,,,,
Pressburg,5,C,U,,,5,,,,H8,25,25,35,24,28,,,,,,,,,,,,,,,,,,,,,,,
Regensburg,6,C,,,,,6,,,D7,25,26,25,28,26,,,,,,,,,,,,,,,,,,,,,,,
Rostock,5,,U,,,5,,,,D2,25,24,23,27,25,,,,,,,,,,,,,,,,,,,,,,,
Rottweil,4,,,,4,,,,,B7,,,28,23,22,,,,,1,,,,1,,,1,,,1,,,,1,Finnian,Boniface,Isidore,Dunstan
Salzburg,5,C,,,,5,,,,E8,24,32,27,26,27,,,,,,,,,,,,,,,,,,,,,,,
Schleswig,5,C,,,,5,,,,C1,24,25,23,25,24,,,,,,,,,,,,,,,,,,,,,,,
Soest,3,C,,3,,,,,,B4,22,35,21,23,21,,,,,,,,,,,,,,,,,,,,,,,
Speyer,5,C,,,,5,,,,B6,24,30,24,25,25,1,1,,,,,1,,,1,,1,,,,1,,,,ChristinaA,MosesB,Crispin,Charity
St.Joachimsthal,3,,,3,,,,,,E5,,,,31,22,,,,,,,,,,,,,,,,,,,,,,,
Stettin,3,,,3,,,,,,F2,24,24,27,23,22,,,,,,,,,,,,,,,,,,,,,,,
Steyr,4,,,,4,,,,,F8,29,,25,24,23,,,,,,,,,,,,,,,,,,,,,,,
Stralsund,5,,,,,5,,,,E2,,,,23,22,,,,,,,,,,,,,,,,,,,,,,,
Strassburg,7,C,,,,,,7,,B7,27,27,25,25,27,1,1,,1,,,,1,,,,1,,1,1,1,,1,1,Clotilda,Eustace,Ita,MargaretC
Stuttgart,5,C,,,,5,,,,C7,25,33,26,24,26,,1,,1,,1,,,,1,,1,,,1,,,,,David,Roch,GregoryT,GilesP
Teschen,4,,,,4,,,,,H6,,,39,22,24,,,,,,,,,,,,,,,,,,,,,,,
Thorn,5,C,,,,5,,,,H3,27,25,32,24,25,,,,,,,,,,,,,,,,,,,,,,,
Trier,6,C,,,,,6,,,A6,33,24,25,28,28,,,,1,1,1,,,,1,,,,,1,1,1,1,1,Bathildis,Cyprian,Drogo,Boniface
Ulm,7,C,,,,,,7,,C7,28,31,26,28,28,,,,,,,,,,,,,,,,,,,,,,,
Vordingbord,3,,,3,,,,,,D1,,,,21,21,,,,,,,,,,,,,,,,,,,,,,,
Wesel,4,,,,4,,,,,A4,,,,25,25,1,,1,1,,,,,,,,,1,1,1,,,,,Giles,Godfrey,Nicholas,Milburga
Wien,6,C,U,,,,6,,,G8,35,27,25,35,30,,,,,,,,,,,,,,,,,,,,,,,
Wismar,4,,,,4,,,,,D2,24,26,22,24,23,,,,,,,,,,,,,,,,,,,,,,,
Wittenberg,5,,U,,,5,,,,E4,25,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,
Wörms,6,C,,,,,6,,,B6,27,26,24,33,29,1,1,,1,,,,,1,,,1,,1,1,1,,,,Cecilia,Boniface,Kessog,Lazarus
Würzburg,5,C,U,,,5,,,,C6,,32,,25,25,,,,,,,,,,,,,,,,,,,,,,,
Xanten,5,C,,,,5,,,,A4,24,24,23,26,32,1,1,1,1,1,1,,,,,,1,,1,1,1,,,,George,RaymondL,George,Cosmas
Zürich,5,C,,,,5,,,,B8,26,25,29,32,24,1,,1,1,,,,,1,1,,,,,,1,1,,,Nicholas,Odo,Lawrence,Agatha
Zwolle,3,,,3,,,,,,A3,,,,25,36,,,,,,,,,,,,,,,,,,,,Eligius,Polycarp,Januarius,Francis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nürnberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aidan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlbertG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcuin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AndrewT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnthonyP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollinarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnulf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathildis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boniface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CatherineS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceowulf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChristinaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clotilda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crispin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DerfelG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dismas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DorothyM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dymphna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EdwardC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eligius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emydius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engelbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erasmus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eustace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FelixN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genevieve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerlac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GertrudeN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GilesP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godehard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godfrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gottschalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GregoryT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heribert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hildegard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illtyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isidore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Januarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnChry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnCli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnNepo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JulianH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kessog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasdislaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longinius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutgardis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MargaretC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MartinT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milburga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MosesB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantaleon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaulS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perpetua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PeterA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polycarp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RaymondL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RaymondP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reinold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SabasG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swithbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarachus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalelaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheodoreT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThomasAp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThomasAq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VictorM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wencelaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilfrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willebald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willehad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williborord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolfgang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
